1466 2204 44460 Greystones, Ireland
2801 109 72988 Balamban, Philippines
1959 2602 24298 Carrollton, OH
2015 1689 69707 Erfurt, Germany
764 1584 20509 Brooklyn, MI
1888 1506 74347 Reno, NV
1848 597 171856 Benton, AR
2649 831 114120 Klagenfurt, Austria
2128 737 39293 Alturas, CA
2542 2330 58182 DeKalb, IL
270 866 97420 Wiluna, W.Australia
1584 1116 131519 Wheat Ridge, CO
338 2477 197768 Covilh, Portugal
763 1686 189365 Bordeaux, France
1420 2126 78983 Yankton, SD
1051 1201 90387 Monmouth, IL
420 1177 155292 Dickinson, ND
630 1938 2854 Amqui, Quebec, Canada
1468 698 158211 Cape Canaveral, FL
2333 1116 145284 Kamloops, BC, Canada
2153 96 48338 Moose Jaw, SSK, Canada
1787 2934 166989 North Haledon, NJ
1968 1528 159789 Norman, OK
2706 290 36237 Bishop, CA
341 575 49011 El Portal, CA
2280 1972 176907 Surabaya, Indonesia
2905 1023 55092 Naperville, IL
469 1198 125934 Waupun, WI
2642 437 55063 Farmington, ME
1283 596 115267 Crawfordsville, IN
1487 212 128281 Bucaramanga, Colombia
1107 2439 43624 New Castle, DE
1574 2393 198926 Sandersville, GA
1392 2811 63106 Decatur, IL
2560 350 102452 Barmouth, Wales, UK
1148 1752 8559 Columbia, MD
416 757 12172 Fulton, MO
857 816 87514 Appleton, WI
1586 2323 177262 Irving, IL
2388 2942 62092 Englewood, CO
1831 2918 172513 Upice, Czech Republic
812 1998 45630 Portage, WI
2270 350 199574 Cupertino, CA
1366 343 53863 Sanderson, TX
745 1527 82587 Sioux City, IA
785 1686 38493 Ostrava, Czech Republic
105 2021 40789 Vici, OK
2836 1874 160948 Hartselle, AL
953 683 42635 Picayune, MS
1760 1627 198448 Katherine, NT, Australia
616 2403 71999 Rosendale, WI
830 2393 127252 Johnstown, NY
80 2659 44752 Amherst, MA
450 2955 105396 Morgantown, WV
2889 2540 7914 Erkelenz, Germany
2274 1815 46111 Dingman's Ferry, PA
1777 2587 84967 Hopkinsville, KY
1027 1213 49537 Ogden, UT
1813 2068 129726 Chicopee, MA
199 1413 27551 Warminster, PA
2854 460 90473 Lutz, FL
2350 2387 152718 Jensen Beach, FL
1378 1241 190100 Rochester, NH
2727 1414 167389 Terneuzen, Netherlands
1086 2232 62560 Needham, MA
385 1288 190588 Lisle, IL
1802 82 85867 Amarillo, TX
1310 343 136500 Amberg, Germany
2692 827 132746 Saint Augustine, FL
990 708 105673 East Grinstead/Gatwick, England
1988 2216 4640 Peterborough, S. Australia
1176 660 33739 Heber Springs, AR
391 2427 8795 Toledo, OH
2108 2107 46226 Mildura, VIC, Australia
2899 2077 144465 Baytown, TX
2396 953 65683 Saint Jrme, QU, Canada
2359 2278 57881 Sebastopol, CA
2078 2195 10996 Bemidji, MN
2034 2947 110070 Crescent City, CA
2719 2305 18133 Matar, Spain
1334 7 125544 Hertogenbosch, Netherlands
1418 1604 118489 Ottawa, Canada
625 372 101007 Dijon, France
840 1219 89469 Saint-Constant, QU, Canada
1805 989 4901 Merced, CA
983 2605 106962 Yorkton, SSK, Canada
39 2280 47151 Cedar City, UT
2007 2415 55532 Gore Bay, ON, Canada
2468 2563 97897 Acworth, GA
955 2321 110394 Yarram, VC, Australia
755 790 198710 Butte, MT
1200 2806 119075 West Palm Beach, FL
76 1997 132631 Tangier, VA
36 1539 5032 Jaffna, Sri Lanka
2635 1567 165838 Naples, Italy
1371 2876 77683 Den Helder, Netherlands
1761 343 194832 Port Elizabeth, South Africa
2244 2205 190511 Lincoln, NE
692 1711 149749 Palm Bay, FL
459 1571 67091 Gettysburg, PA
156 738 94299 Kane, PA
2001 338 126021 Truro, CWL, England
1311 1227 47652 Frederick, MD
7 2621 1867 Danvers, MA
1354 2904 1921 Farmington Hills, MI
2064 2451 128807 Williamsville, IL
739 2094 14392 Holland, MI
923 1355 145398 Hickory Ridge, AR Highland, CA
1398 195 4196 Fresno, CA
661 2666 55130 Natick, MA
730 1108 41196 Susanville, CA
88 2009 48600 Springfield, MO
2926 2885 134097 Poughkeepsie, NY
2916 1909 122397 Mount Vernon, IL
1691 331 198758 Vancouver, Canada
2045 252 145545 Sarajevo, Bosnia
567 675 192630 Killarney, Ireland
1092 2240 3462 Clermont-Ferrand, France
2347 942 176288 Racine, WI
1807 2657 122094 Garza Garcia, Mexico
1372 2132 156397 Tampere, Finland
