2002 955 117166 Aachen, Germany
2531 1948 46366 Whitmore Lake, MI
1033 2305 63638 Whittier, CA
671 888 138018 Wichita, KS
2644 504 188580 Wichita Falls, TX
1135 1652 160135 Wiesbaden, Germany
72 612 155006 Wilbraham, MA
59 729 52339 Wilderness, South Africa
776 899 53343 Wildomar, CA
1813 699 147895 Wilkes-Barre, PA
943 310 153198 Willemstad, Netherlands Antilles
2788 2841 83063 Williams Lake, BC, Canada
483 874 36699 Williamsburg, VA
1438 1544 95884 Williamsport, PA
508 1187 129430 Williamston, NC
337 2321 39523 Williamston, SC
2739 2393 80273 Williamstown, KY
2064 2451 128807 Williamsville, IL
2849 227 188717 Willington, CT
649 2040 35294 Williston, ND
2868 2982 55925 Willits, CA
2166 2769 45277 Willmar, MN
412 252 103477 Willow Grove, PA
962 1690 6362 Wilmette, IL
2400 2197 85451 Wilmington, DE
1342 2534 40171 Wilmington, NC
1935 2272 199666 Wilmington, OH
139 1336 163039 Wilmington, VT
2071 1185 178140 Wilson, NC
1902 1833 114088 Wilton, CT
2431 1701 112839 Wilton Manors, FL
270 866 97420 Wiluna, W.Australia
949 1277 114199 Winchester, England
2501 2238 26811 Winchester, VA
2597 1638 173276 Winder, GA
878 2979 142171 Windhoek, Namibia
1481 1914 93632 Windsor, CT
1476 2052 182664 Windsor, England
921 1122 61606 Windsor, ON, Canada
594 23 183799 Winfield, IL
2305 2454 97139 Winfield, KS
997 2723 154822 Wingate, NC
2459 671 39912 Winlock, WA
1172 172 189106 Winnemucca, NV
1574 2768 98288 Winnipeg, Canada
1173 646 96888 Winona, MN
306 2126 24427 Winsen (Luhe), Germany
1710 601 161179 Winslow, NJ
1450 1522 35951 Winston-Salem, NC
2374 2115 37458 Winter Haven, FL
2131 1420 39171 Wiscasset, ME
2416 2738 193992 Wisconsin Rapids, WI
1875 409 33903 Wise, VA
46 580 23009 Witten, Germany
1619 347 121297 Wollongong, Australia
2792 993 18184 Wolverhampton, England
97 118 42611 Wonalancet, NH
1806 719 3790 Woodbridge, VA
256 2241 39740 Woodhull, NY
2629 1356 77197 Woodinville, WA
1759 2775 78191 Woodland Hills, CA
2347 2191 60674 Woodstock, GA
2257 1065 87878 Woodstock, IL
2765 1110 126509 Woodstock, ONT, Canada
111 2729 149634 Woomera, Australia
1930 2520 15774 Wooster, OH
2203 2616 23617 Worcester, England, UK
2842 1422 71519 Worcester, MA
2899 1677 20874 Worland, WY
495 1305 111214 Worthing, England
1653 64 96162 Wrentham, MA
2826 2411 42174 Wrexham, Wales, UK
736 1667 113131 Wroclaw, Poland
2054 1432 187108 Wubin, W.Australia
952 1542 168995 Wuerzburg, Germany
196 472 136954 Wuppertal, Germany
433 2674 111318 Wykoff, MN
787 2515 6055 Wyndham, W.Australia
1860 2414 117791 Wyoming, OH
2173 2908 4762 Wysox, PA
841 1561 8999 Xenia, OH
2283 1386 169672 Yachats, OR
2916 2121 80775 Yakima, WA
1613 1175 176209 Yampi Sound, W.Australia
1420 2126 78983 Yankton, SD
955 2321 110394 Yarram, VC, Australia
9 2754 88625 Yazoo City, MS
1679 540 56289 Yellowknife, NWT, Canada
1769 2399 17173 Yellville, AR
536 1572 11018 Yoakum, TX
608 2412 115021 Yokohama, Japan
743 1695 7373 Yonkers, NY
288 1611 148746 Yorba Linda, CA
1499 223 27019 York, England, UK
1143 1643 168700 York, NE
2327 2597 123423 York, PA
983 2605 106962 Yorkton, SSK, Canada
2313 1283 142932 Yorktown Heights, NY
157 52 102854 Youngstown, OH
414 588 7599 Ypsilanti, MI
580 1195 168382 Yreka, CA
2305 1937 81364 Yuba City, CA
2416 2225 188718 Yucca Valley, CA
1647 723 3575 Yuma, AZ
2052 1865 113043 Yverdon, Switzerland
1583 1192 86115 Zagreb, Croatia
434 2175 59746 Zalaegerszeg, Hungary
2038 1487 145253 Zanesville, OH
1182 1643 148690 Zanzibar, Africa
2725 2057 187847 Zaragoza, Spain
2839 2636 67486 Zeeland, MI
2365 1941 196605 Zephyrhills, FL
585 1356 144876 Zeist, Netherlands
416 2 193073 Zielona Gra, Poland
470 2054 117404 Zoetermeer, Netherlands
2165 636 196851 Zouteland, Netherlands
457 1069 141809 Zruc nad Szavou, Czech Republic
1353 107 40903 Zurich, Switzerland
532 1289 150419 Zwijndrecht, Netherlands
2762 1013 87531 Zwolle, Netherlands
2580 852 63257 Zywiec, Poland
